date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2021-08-16,sz.301047,273.6971762000,273.7245504800,205.7177142000,225.0713301600,133.6412349600,8526177,4518066038.5700,2,50.154000,1,68.414600,0,24.035557,20.570431
2021-08-17,sz.301047,218.0817640000,249.7446812000,213.0631460000,239.8260670800,225.0713301600,5029206,2555492038.2600,2,29.583600,1,6.555600,0,25.611227,21.918943
2021-08-18,sz.301047,234.9625700000,286.8824544000,234.0500940000,282.9040590400,239.8260670800,5219063,2982501927.2300,2,30.700400,1,17.962200,0,30.211562,25.856063
2021-08-19,sz.301047,286.0612260000,319.0837324400,273.7975485600,282.1832030000,282.9040590400,4994648,3210514769.4000,2,29.380300,1,-0.254800,0,30.134582,25.790180
2021-08-20,sz.301047,273.7428000000,284.2362740000,260.1012838000,263.7283759000,282.1832030000,3218733,1899914535.8000,2,18.933700,1,-6.540000,0,28.163775,24.103498
2021-08-23,sz.301047,254.5762416200,262.3368500000,247.7828578000,255.9677675200,263.7283759000,2413841,1348303259.0300,2,14.199100,1,-2.942700,0,27.335013,23.394216
2021-08-24,sz.301047,252.2996140000,265.9867540000,239.5249500000,263.6873144800,255.9677675200,3433287,1884570775.5400,2,20.195800,1,3.015800,0,28.159390,24.099745
2021-08-25,sz.301047,257.3182320000,262.7429018200,252.5414201400,252.6189806000,263.6873144800,1929351,1086050737.1400,2,11.349100,1,-4.197500,0,26.977393,23.088153
2021-08-26,sz.301047,246.3685200000,257.2269844000,244.6804394000,244.9861188600,252.6189806000,1791029,975406462.6600,2,10.535500,1,-3.021500,0,26.162274,22.390547
2021-08-27,sz.301047,236.7875220000,239.2694567200,224.0904184600,224.5010326600,244.9861188600,2830662,1431576418.5000,2,16.651000,1,-8.361700,0,27.080934,19.179826
2021-08-30,sz.301047,218.9942400000,225.1534530000,215.9511325400,220.6640710800,224.5010326600,1526670,737401021.7000,2,8.980400,1,-1.709100,0,26.618092,18.852022
2021-08-31,sz.301047,218.5380020000,231.7689040000,218.1821363600,223.5566200000,220.6640710800,1476240,731249945.1400,2,8.683800,1,1.310800,0,26.967013,19.099141
2021-09-01,sz.301047,221.5491728000,225.0758925400,214.3771114400,214.4774838000,223.5566200000,1499364,709777190.7300,2,8.819800,1,-4.061200,0,25.871822,18.323482
2021-09-02,sz.301047,215.1162170000,217.1236642000,209.6869848000,209.9059790400,214.4774838000,1338158,621444220.7100,2,7.871500,1,-2.131500,0,25.320374,17.932924
2021-09-03,sz.301047,208.9570040000,226.2940480000,208.6513245400,223.5566200000,209.9059790400,1997741,952748085.7900,2,11.751400,1,6.503200,0,26.967013,19.099141
2021-09-06,sz.301047,220.4907006400,231.7597792400,219.4504780000,223.5931190400,223.5566200000,1690237,837331172.8900,2,9.942600,1,0.016300,0,26.971415,19.102260
2021-09-07,sz.301047,221.2845547600,223.5018714400,216.9411690000,217.8217083400,223.5931190400,1271067,610384187.6600,2,7.476900,1,-2.581200,0,26.275226,18.609190
