date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2005-02-22,sh.600703,0.3205820800,0.3277237600,0.3094728000,0.3269302400,0.3197885600,701299,2848365.0000,2,1.197038,1,2.230000,0,15.955678,1.894435
2005-02-23,sh.600703,0.3301043200,0.3308978400,0.3245496800,0.3301043200,0.3269302400,516259,2135789.0000,2,0.881195,1,0.970000,0,16.110587,1.912828
2005-02-24,sh.600703,0.3261367200,0.3293108000,0.3221691200,0.3277237600,0.3301043200,438156,1799733.0000,2,0.747882,1,-0.720000,0,15.994405,1.899033
2005-02-25,sh.600703,0.3261367200,0.3324848800,0.3261367200,0.3285172800,0.3277237600,581285,2411320.0000,2,0.992187,1,0.240000,0,16.033133,1.903631
2005-02-28,sh.600703,0.3269302400,0.3356589600,0.3261367200,0.3340719200,0.3285172800,860328,3609354.0000,2,1.468482,1,1.690000,0,16.304224,1.935818
2005-03-01,sh.600703,0.3340719200,0.3412136000,0.3293108000,0.3404200800,0.3340719200,524844,2211917.0000,2,0.895849,1,1.900000,0,16.614043,1.972603
2005-03-02,sh.600703,0.3380395200,0.3412136000,0.3301043200,0.3308978400,0.3404200800,449472,1898870.0000,2,0.767198,1,-2.800000,0,16.149315,1.917426
2005-03-03,sh.600703,0.3293108000,0.3324848800,0.3237561600,0.3324848800,0.3308978400,348399,1436463.0000,2,0.594677,1,0.480000,0,16.226769,1.926622
2005-03-04,sh.600703,0.3277237600,0.3412136000,0.3277237600,0.3356589600,0.3324848800,1108582,4705039.0000,2,1.892223,1,0.950000,0,16.381679,1.945015
2005-03-07,sh.600703,0.3602580800,0.3681932800,0.3396265600,0.3412136000,0.3356589600,3445108,15146092.0000,2,5.880407,1,1.650000,0,16.652771,1.977202
2005-03-08,sh.600703,0.3356589600,0.3459747200,0.3332784000,0.3451812000,0.3412136000,1366374,5833890.0000,2,2.332245,1,1.160000,0,16.846407,2.000192
2005-03-09,sh.600703,0.3451812000,0.3451812000,0.3380395200,0.3420071200,0.3451812000,584200,2511980.0000,2,0.997163,1,-0.920000,0,16.691498,1.981800
2005-03-10,sh.600703,0.3388330400,0.3404200800,0.3277237600,0.3285172800,0.3420071200,651706,2731784.0000,2,1.112388,1,-3.940000,0,16.033133,1.903631
2005-03-11,sh.600703,0.3269302400,0.3316913600,0.3261367200,0.3269302400,0.3285172800,504540,2086271.0000,2,0.861192,1,-0.480000,0,15.955678,1.894435
2005-03-14,sh.600703,0.3261367200,0.3269302400,0.3182015200,0.3205820800,0.3269302400,488999,1982934.0000,2,0.834666,1,-1.940000,0,15.645859,1.857650
2005-03-15,sh.600703,0.3174080000,0.3213756000,0.3118533600,0.3142339200,0.3205820800,326900,1295859.0000,2,0.557981,1,-1.980000,0,15.336040,1.820865
2005-03-16,sh.600703,0.3134404000,0.3134404000,0.3078857600,0.3086792800,0.3142339200,268900,1048947.0000,2,0.458982,1,-1.770000,0,15.064948,1.788678
2005-03-17,sh.600703,0.3078857600,0.3126468800,0.3062987200,0.3086792800,0.3086792800,221164,861084.0000,2,0.377502,1,0.000000,0,15.064948,1.788678
2005-03-18,sh.600703,0.3062987200,0.3062987200,0.2975700000,0.2975700000,0.3086792800,228900,871690.0000,2,0.390706,1,-3.600000,0,14.522765,1.724304
