date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ,pe_rank,pe_rank_percentile
2005-05-19,sz.000516,0.4379908,0.4464137,0.42535645,0.42788332,0.42282958,577895.0,2961843.63,2,1.329886,1,1.2,0,21.667782,1.57391,23,46.0
2005-05-20,sz.000516,0.42367187,0.4295679,0.42198729,0.42704103,0.42788332,177300.0,897677.91,2,0.408013,1,-0.2,0,21.625129,1.570812,23,46.0
2005-05-23,sz.000516,0.42535645,0.42619874,0.39334943,0.39503401,0.42704103,226100.0,1092196.22,2,0.520315,1,-7.5,0,20.004311,1.453078,5,10.0
2005-05-24,sz.000516,0.38661111,0.41103752,0.38661111,0.40598378,0.39503401,268219.0,1283259.42,2,0.617241,1,2.77,0,20.558801,1.493355,13,26.0
2005-05-25,sz.000516,0.4042992,0.41019523,0.39924546,0.40598378,0.40598378,142780.0,686643.9,2,0.328574,1,0.0,0,20.558801,1.493355,14,28.0
2005-05-26,sz.000516,0.4042992,0.41356439,0.4042992,0.4127221,0.40598378,201300.0,978602.6,2,0.463243,1,1.66,0,20.900026,1.518141,17,34.0
2005-05-27,sz.000516,0.4127221,0.41693355,0.4042992,0.4042992,0.4127221,63600.0,309047.0,2,0.14636,1,-2.04,0,20.473495,1.487159,13,26.0
2005-05-30,sz.000516,0.40345691,0.40935294,0.39671859,0.40682607,0.4042992,115058.0,552036.29,2,0.264778,1,0.63,0,20.601454,1.496454,16,32.0
2005-05-31,sz.000516,0.40345691,0.4127221,0.40345691,0.41019523,0.40682607,62950.0,305200.5,2,0.144864,1,0.83,0,20.772067,1.508847,18,36.0
2005-06-01,sz.000516,0.40682607,0.41103752,0.40008775,0.4042992,0.41019523,75442.0,362057.7,2,0.173612,1,-1.44,0,20.473495,1.487159,14,28.0
2005-06-02,sz.000516,0.40514149,0.40514149,0.39334943,0.39840317,0.4042992,152930.0,722025.2,2,0.351932,1,-1.46,0,20.174923,1.465471,8,16.0
2005-06-03,sz.000516,0.39840317,0.40008775,0.38829569,0.40008775,0.39840317,112100.0,525721.0,2,0.257971,1,0.42,0,20.260229,1.471668,9,18.0
2005-06-06,sz.000516,0.39924546,0.40766836,0.39419172,0.40514149,0.40008775,117000.0,557536.0,2,0.269247,1,1.26,0,20.516148,1.490257,17,34.0
2005-06-07,sz.000516,0.40682607,0.42030271,0.4042992,0.40935294,0.40514149,198600.0,968822.8,2,0.45703,1,1.04,0,20.729413,1.505748,22,44.0
2005-06-09,sz.000516,0.45062515,0.45062515,0.45062515,0.45062515,0.40935294,632804.0,3385501.4,2,1.456246,1,10.08,0,22.819416,1.657563,48,96.0
2005-06-10,sz.000516,0.46999782,0.47673614,0.45146744,0.45146744,0.45062515,2475295.0,13631037.32,2,5.696295,1,0.19,0,22.862069,1.660661,48,96.0
2005-06-13,sz.000516,0.44809828,0.44809828,0.43462164,0.44051767,0.45146744,702503.0,3662196.28,2,1.616641,1,-2.43,0,22.307579,1.620384,44,88.0
2005-06-14,sz.000516,0.4464137,0.45062515,0.43209477,0.43546393,0.44051767,421900.0,2211293.0,2,0.970901,1,-1.15,0,22.05166,1.601794,38,76.0
2005-06-15,sz.000516,0.43377935,0.43377935,0.42535645,0.42619874,0.43546393,292850.0,1489256.0,2,0.673924,1,-2.13,0,21.582476,1.567713,34,68.0
2005-06-16,sz.000516,0.42535645,0.43293706,0.42367187,0.43293706,0.42619874,238610.0,1218374.23,2,0.549103,1,1.58,0,21.923701,1.592499,37,74.0
2005-06-17,sz.000516,0.43209477,0.44135996,0.42872561,0.43293706,0.43293706,248958.0,1279450.38,2,0.572917,1,0.0,0,21.923701,1.592499,37,74.0
2005-06-20,sz.000516,0.43377935,0.44388683,0.421145,0.44388683,0.43293706,431296.0,2218326.62,2,0.992524,1,2.53,0,22.478191,1.632777,45,90.0
2005-06-21,sz.000516,0.44220225,0.4464137,0.42788332,0.43462164,0.44388683,310414.0,1598492.12,2,0.714343,1,-2.09,0,22.009007,1.598696,38,76.0
2005-06-22,sz.000516,0.43967538,0.44220225,0.42704103,0.43630622,0.43462164,223300.0,1145258.0,2,0.513871,1,0.39,0,22.094313,1.604892,39,78.0
2005-06-23,sz.000516,0.43630622,0.43630622,0.42788332,0.42788332,0.43630622,256310.0,1308523.28,2,0.589836,1,-1.93,0,21.667782,1.57391,34,68.0
2005-06-24,sz.000516,0.42788332,0.43125248,0.42198729,0.4295679,0.42788332,135618.0,685720.76,2,0.312092,1,0.39,0,21.753088,1.580106,35,70.0
2005-06-27,sz.000516,0.43125248,0.44472912,0.43125248,0.43967538,0.4295679,453600.0,2363807.56,2,1.043851,1,2.35,0,22.264926,1.617285,42,84.0
2005-06-28,sz.000516,0.43377935,0.43462164,0.42872561,0.43125248,0.43967538,158306.0,809336.62,2,0.364303,1,-1.92,0,21.838394,1.586303,36,72.0
2005-06-29,sz.000516,0.43125248,0.43630622,0.42788332,0.4295679,0.43125248,94852.0,485951.08,2,0.218279,1,-0.39,0,21.753088,1.580106,36,72.0
2005-06-30,sz.000516,0.42872561,0.43125248,0.41524897,0.41777584,0.4295679,218801.0,1095099.4,2,0.503518,1,-2.75,0,21.155945,1.536731,29,58.0
2005-07-01,sz.000516,0.4127221,0.4127221,0.3958763,0.39840317,0.41777584,189600.0,913227.7,2,0.436319,1,-4.64,0,20.174923,1.465471,9,18.0
2005-07-04,sz.000516,0.38829569,0.3958763,0.38408424,0.39250714,0.39840317,147210.0,680890.0,2,0.338768,1,-1.48,0,19.876351,1.443784,4,8.0
2005-07-05,sz.000516,0.39166485,0.3958763,0.38661111,0.38829569,0.39250714,73050.0,339245.5,2,0.168107,1,-1.07,0,19.663086,1.428292,2,4.0
2005-07-06,sz.000516,0.3958763,0.42535645,0.39166485,0.40177233,0.38829569,174821.0,832742.35,2,0.402308,1,3.47,0,20.345535,1.477864,14,28.0
2005-07-07,sz.000516,0.39840317,0.40345691,0.3958763,0.40008775,0.40177233,74511.0,354476.81,2,0.171469,1,-0.42,0,20.260229,1.471668,13,26.0
2005-07-08,sz.000516,0.40008775,0.40008775,0.38576882,0.38661111,0.40008775,121300.0,560120.0,2,0.279143,1,-3.37,0,19.577779,1.422096,2,4.0
2005-07-11,sz.000516,0.39419172,0.3958763,0.38408424,0.38492653,0.38661111,85520.0,397881.2,2,0.196804,1,-0.44,0,19.492473,1.415899,2,4.0
