date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2005-03-17,sz.000516,0.4742092700,0.4860013300,0.4742092700,0.4834744600,0.4792630100,69700,397258.4000,2,0.160398,1,0.880000,0,22.414532,1.889468
2005-03-18,sz.000516,0.4885282000,0.4952665200,0.4582057600,0.4615749200,0.4834744600,132800,737162.9100,2,0.305607,1,-4.530000,0,21.399240,1.803882
2005-03-21,sz.000516,0.4615749200,0.4674709500,0.4539943100,0.4624172100,0.4615749200,178819,973418.0200,2,0.411509,1,0.180000,0,23.880239,1.745742
2005-03-22,sz.000516,0.4615749200,0.4683132400,0.4413599600,0.4489405700,0.4624172100,226300,1205432.6000,2,0.520775,1,-2.910000,0,23.184276,1.694864
2005-03-23,sz.000516,0.4388330900,0.4489405700,0.4379908000,0.4396753800,0.4489405700,159604,835981.3200,2,0.367290,1,-2.060000,0,22.705801,1.659886
2005-03-24,sz.000516,0.4405176700,0.4430445400,0.4253564500,0.4329370600,0.4396753800,177398,907484.5800,2,0.408239,1,-1.530000,0,22.357820,1.634447
2005-03-25,sz.000516,0.4320947700,0.4337793500,0.4253564500,0.4337793500,0.4329370600,198568,1015918.3800,2,0.456956,1,0.190000,0,22.401317,1.637627
2005-03-28,sz.000516,0.4371485100,0.4371485100,0.4228295800,0.4304101900,0.4337793500,132900,673914.0000,2,0.305837,1,-0.780000,0,22.227327,1.624908
2005-03-29,sz.000516,0.4295679000,0.4312524800,0.4253564500,0.4312524800,0.4304101900,92929,472820.8400,2,0.213854,1,0.200000,0,22.270824,1.628087
2005-03-30,sz.000516,0.4245141600,0.4253564500,0.4042992000,0.4101952300,0.4312524800,158200,777557.0800,2,0.364059,1,-4.880000,0,21.183382,1.548591
2005-03-31,sz.000516,0.4085106500,0.4127221000,0.4042992000,0.4127221000,0.4101952300,111829,543481.1000,2,0.257347,1,0.620000,0,21.313875,1.558131
2005-04-01,sz.000516,0.4127221000,0.4329370600,0.4068260700,0.4219872900,0.4127221000,191320,955530.8000,2,0.440277,1,2.240000,0,21.792350,1.593109
2005-04-04,sz.000516,0.4211450000,0.4337793500,0.4144066800,0.4287256100,0.4219872900,201648,1020715.6000,2,0.464044,1,1.600000,0,22.140331,1.618548
2005-04-05,sz.000516,0.4295679000,0.4295679000,0.4160912600,0.4177758400,0.4287256100,113670,571356.0700,2,0.261584,1,-2.550000,0,21.574861,1.577210
2005-04-06,sz.000516,0.4211450000,0.4287256100,0.4135643900,0.4287256100,0.4177758400,148012,738058.5600,2,0.340614,1,2.620000,0,22.140331,1.618548
2005-04-07,sz.000516,0.4270410300,0.4396753800,0.4228295800,0.4337793500,0.4287256100,336294,1731654.6100,2,0.773900,1,1.180000,0,22.401317,1.637627
2005-04-08,sz.000516,0.4346216400,0.4531520200,0.4295679000,0.4514674400,0.4337793500,330213,1726353.7800,2,0.759906,1,4.080000,0,23.314769,1.704404
2005-04-11,sz.000516,0.4531520200,0.4531520200,0.4413599600,0.4447291200,0.4514674400,238200,1260201.6600,2,0.548160,1,-1.490000,0,22.966788,1.678965
2005-04-12,sz.000516,0.4219872900,0.4447291200,0.4219872900,0.4312524800,0.4447291200,153900,790392.0000,2,0.354164,1,-3.030000,0,22.270824,1.628087
2005-04-13,sz.000516,0.4287256100,0.4514674400,0.4287256100,0.4447291200,0.4312524800,291938,1535870.2900,2,0.671825,1,3.130000,0,22.966788,1.678965
2005-04-14,sz.000516,0.4388330900,0.4523097300,0.4363062200,0.4379908000,0.4447291200,270490,1433414.0900,2,0.622468,1,-1.520000,0,22.618806,1.653526
2005-04-15,sz.000516,0.4304101900,0.4405176700,0.4245141600,0.4312524800,0.4379908000,191290,972998.3000,2,0.440208,1,-1.540000,0,22.270824,1.628087
2005-04-18,sz.000516,0.4270410300,0.4438868300,0.4211450000,0.4253564500,0.4312524800,115095,584785.2700,2,0.264863,1,-1.370000,0,21.966340,1.605828
2005-04-19,sz.000516,0.4211450000,0.4312524800,0.4127221000,0.4236718700,0.4253564500,117200,589054.4300,2,0.269708,1,-0.400000,0,21.454516,1.558419
2005-04-20,sz.000516,0.4228295800,0.4253564500,0.3984031700,0.4042992000,0.4236718700,259900,1263580.1000,2,0.598097,1,-4.570000,0,20.473495,1.487159
2005-04-21,sz.000516,0.4000877500,0.4127221000,0.3874534000,0.3925071400,0.4042992000,267783,1258594.7000,2,0.616238,1,-2.920000,0,19.876351,1.443784
2005-04-22,sz.000516,0.3916648500,0.3941917200,0.3807150800,0.3941917200,0.3925071400,167776,769731.3600,2,0.386096,1,0.430000,0,19.961657,1.449980
2005-04-25,sz.000516,0.3925071400,0.3941917200,0.3849265300,0.3899802700,0.3941917200,107900,498036.9100,2,0.248306,1,-1.070000,0,19.748392,1.434489
2005-04-26,sz.000516,0.3899802700,0.4009300400,0.3891379800,0.3984031700,0.3899802700,147301,692326.6700,2,0.338978,1,2.160000,0,20.174923,1.465471
2005-04-27,sz.000516,0.4000877500,0.4093529400,0.3967185900,0.4076683600,0.3984031700,195008,933425.3400,2,0.448764,1,2.330000,0,20.644107,1.499552
2005-04-28,sz.000516,0.4059837800,0.4177758400,0.3958763000,0.4169335500,0.4076683600,275105,1339788.1000,2,0.633088,1,2.270000,0,21.113291,1.533633
2005-04-29,sz.000516,0.4144066800,0.4203027100,0.4059837800,0.4144066800,0.4169335500,164900,810084.6400,2,0.379478,1,-0.610000,0,20.985332,1.524338
2005-05-09,sz.000516,0.4160912600,0.4169335500,0.3958763000,0.4017723300,0.4144066800,55400,264959.0000,2,0.127490,1,-3.050000,0,20.345535,1.477864
